date,code,name,env,current_verdict,baseline_verdict,current_score,baseline_score,ret3,ret5,ret3_bucket,trend_structure,price_position,volume_behavior,previous_abnormal_move,macd_phase,signal,signal_type,daily_macd_phase_type,daily_macd_wave_index,daily_macd_wave_stage,daily_macd_rising_or_falling,daily_macd_bottom_divergence,daily_macd_top_divergence,weekly_macd_phase_type,weekly_macd_wave_index,weekly_macd_wave_stage,weekly_macd_bottom_divergence,weekly_macd_top_divergence,weekly_daily_combo_type,price_vs_90d_high,price_vs_90d_low,price_vs_90d_mid,midline_state,midline_breakout_volume_ratio,breakout_above_90d_mid_with_volume,pullback_confirm_vs_90d_mid,close_vs_ma25,close_vs_ma60,ma25_vs_ma60,ma25_slope_5d,ma60_slope_5d,support_stack_type,range_compression_20d,range_compression_40d,days_since_last_high,days_since_last_low,volume_ratio_5d,volume_ratio_10d,turnover_rate,turnover_rate_ratio_5d,daily_pct_chg,daily_macd_hist,daily_macd_hist_prev,daily_macd_hist_state,price_up_1d,turnover_up_1d,price_turnover_state,k_value,d_value,j_value,j_vs_k,j_vs_d,j_overheat,j_repair_from_low,bbi_bfq,close_vs_bbi,bbi_bias_state,bias1_bfq,bias2_bfq,bias3_bfq,bias_bucket,obv_bfq,obv_ratio_5d,obv_state
2026-03-10,688786.SH,,neutral,WATCH,WATCH,3.86,3.86,-4.44,-7.03,D,4.0,4.0,3.0,5.0,2.76,B2,trend_start,rising,3,背离,rising,False,True,rising,2,强势转分歧,False,False,rising:2|rising:3,-9.0,37.8,9.61,above_hold,0.85,False,False,8.07,15.94,7.28,1.79,2.1,bull_stack,0.17,0.15,8,69,0.85,0.65,3.27,0.85,4.68,0.03,0.0,red_expanding,True,True,price_turnover_rise,44.55,50.69,32.25,-12.29,-18.44,False,False,34.31,3.71,above_extended,2.57,2.55,7.89,neutral,98.65,0.99,flat
2026-03-10,920068.BJ,,neutral,WATCH,WATCH,4.06,4.06,-0.32,2.59,D,4.0,4.0,5.0,5.0,2.92,B2,trend_start,rising,0,背离,rising,False,False,idle,0,等待启动,False,False,idle:0|rising:0,-7.22,33.48,9.47,above_hold,1.24,False,False,9.01,11.55,2.33,1.7,1.89,bull_stack,0.15,0.15,7,68,1.24,0.81,7.76,1.24,4.97,0.12,0.08,red_expanding,True,True,price_turnover_rise,44.63,47.02,39.87,-4.76,-7.15,False,False,20.96,4.83,above_extended,4.0,4.04,9.04,positive,125.61,1.02,flat
2026-03-10,920493.BJ,,neutral,WATCH,WATCH,3.91,3.91,-4.48,-9.98,D,4.0,4.0,3.0,5.0,2.92,B3,rebound,rising,4,背离,rising,False,False,idle,0,等待启动,False,False,idle:0|rising:4,-12.76,36.41,6.42,above_hold,1.16,False,False,5.68,14.54,8.38,1.66,1.68,bull_stack,0.21,0.15,34,51,1.16,1.25,9.98,1.16,-1.99,0.0,-0.39,red_expanding,False,False,mixed,51.18,40.27,73.0,21.82,32.73,False,False,167.8,3.88,above_extended,5.38,3.93,5.77,positive,144.33,1.01,flat
2026-03-10,920670.BJ,,neutral,WATCH,WATCH,3.57,3.57,-3.58,-9.69,D,4.0,2.0,3.0,5.0,2.68,B3,rebound,falling,2,修复,falling,True,False,rising,1,背离,False,True,rising:1|falling:2,-28.52,36.88,-6.08,below_midline,1.13,False,False,1.78,7.08,5.2,-0.37,1.51,bull_stack,0.15,0.06,34,87,1.13,0.82,6.67,1.13,-0.87,-0.06,-0.1,green_or_zero,False,False,mixed,41.49,38.83,46.82,5.33,8.0,False,True,18.98,1.68,above,3.13,0.63,1.89,positive,432.51,1.0,flat
2026-03-10,920706.BJ,,neutral,FAIL,FAIL,2.95,2.95,0.0,-6.77,D,3.0,2.0,3.0,5.0,1.87,B2,rebound,idle,0,等待启动,neutral,False,False,falling,2,背离,False,False,falling:2|idle:0,-20.0,18.6,-4.45,below_midline,1.19,False,False,-1.24,-0.75,0.49,-2.3,-0.08,below_ma25_ma60,0.32,0.16,30,71,1.19,1.27,10.8,1.19,4.18,-0.08,-0.12,green_or_zero,True,True,price_turnover_rise,43.17,41.99,45.51,2.34,3.51,False,True,27.08,0.3,above,0.41,-0.1,-1.13,neutral,171.71,1.01,flat
2026-03-11,000422.SZ,,weak,WATCH,WATCH,3.66,3.66,0.44,-5.6,C,4.0,4.0,5.0,3.0,2.61,B2,trend_start,rising,3,分歧,rising,False,False,rising,3,强势,False,False,rising:3|rising:3,-6.22,37.99,11.66,above_hold,0.93,False,False,9.28,17.61,7.63,1.98,1.87,bull_stack,0.24,0.23,2,88,0.93,0.92,8.04,0.93,4.73,0.06,0.05,red_expanding,True,True,price_turnover_rise,50.7,59.98,32.15,-18.55,-27.83,False,False,17.71,3.78,above_extended,2.37,2.91,9.38,neutral,13650.84,1.01,flat
2026-03-11,000683.SZ,,weak,FAIL,FAIL,3.19,3.19,-9.94,-11.14,E,4.0,2.0,5.0,3.0,2.75,B2,rebound,rising,4,背离,rising,False,False,rising,1,强势,False,False,rising:1|rising:4,-0.4,62.21,23.42,above_hold,1.27,False,False,12.44,23.03,9.42,2.18,2.52,bull_stack,0.35,0.24,2,89,1.27,1.24,2.94,1.27,6.87,0.04,0.02,red_expanding,True,True,price_turnover_rise,71.17,70.82,71.87,0.7,1.05,False,False,9.37,6.27,above_extended,4.62,6.27,12.37,positive,15496.51,1.0,flat
2026-03-11,000703.SZ,,weak,WATCH,WATCH,3.67,3.67,-5.61,-11.15,E,4.0,4.0,4.0,3.0,2.05,B2,trend_start,falling,14,修复,falling,False,False,rising,1,背离,False,True,rising:1|falling:14,-8.68,98.61,25.11,above_hold,0.95,False,False,2.6,16.99,14.03,1.8,3.56,bull_stack,0.51,0.3,2,82,0.95,1.14,2.15,0.95,7.82,-0.13,-0.16,green_or_zero,True,True,price_turnover_rise,43.99,47.52,36.94,-7.05,-10.58,False,False,12.58,2.0,above,2.31,1.4,2.41,neutral,5145.7,0.99,flat
2026-03-11,000823.SZ,,weak,WATCH,WATCH,3.18,3.18,3.05,3.55,C,4.0,2.0,3.0,3.0,2.72,B3,rebound,falling,4,修复,falling,True,False,rising,2,背离,False,False,rising:2|falling:4,-6.19,35.51,10.87,above_hold,0.92,False,False,5.22,8.48,3.1,0.63,1.15,bull_stack,0.11,0.11,9,70,0.92,0.73,3.94,0.92,0.38,-0.01,-0.04,green_or_zero,True,False,price_up_turnover_not,49.29,41.66,64.55,15.26,22.89,False,False,15.35,2.68,above,3.03,1.46,5.17,positive,11138.74,1.0,flat
2026-03-11,000830.SZ,,weak,WATCH,WATCH,3.8,3.8,-10.86,-15.72,F,4.0,4.0,5.0,3.0,2.95,B2,trend_start,rising,2,强势,rising,False,False,rising,0,强势,False,False,rising:0|rising:2,-6.65,58.37,17.46,above_hold,1.04,False,False,9.28,15.98,6.13,-0.13,2.26,bull_stack,0.35,0.33,2,87,1.04,1.12,3.15,1.04,7.56,0.13,0.09,red_expanding,True,True,price_turnover_rise,54.46,57.68,48.03,-6.43,-9.64,False,False,19.27,5.62,above_extended,4.19,6.08,9.67,positive,17826.24,1.0,flat
